Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;06/2020;29.736;25.437.132;16.839.393;5.994.116;-115.714;5.878.402;0;0;0;0;0;4.435.355;14.440.297;244.086;67.304.402;0;67.304.402
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;06/2020;179.774;3.275.270;39.905.451;10.080.654;-546.804;9.533.850;0;0;0;0;0;5.034.657;855.483;235.186;59.019.670;0;59.019.670
REDECARD S.A.;1425787;;;80099;n4;2;41;SAO PAULO;SP;06/2020;252.971;8.896.329;1.115.812;0;0;0;0;0;0;0;0;546.817;46.206.015;1.452.774;58.470.718;0;58.470.718
ING BANK N.V.;49336860;ING;51073;80501;b1;3;28;SAO PAULO;SP;06/2020;5.333;10.985.295;2.835.374;963.590;-6.557;957.034;0;0;0;0;0;42.977.941;1.473;8.099;57.770.549;0;57.770.549
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;06/2020;3.056;4.227.647;3.881.154;2.605.062;0;2.605.062;0;0;0;0;0;46.541.461;3.825;33.658;57.295.864;0;57.295.864
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;06/2020;219.458;4.825.442;7.787.586;24.129.946;-927.016;23.202.931;0;0;0;0;0;16.033.167;48.815;25.826;52.143.225;0;52.143.225
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;260;7.184.508;103.542;34.752.782;-976.527;33.776.255;393;267.765;103.634;-3.869;367.923;6.702.280;175.105;2.211.395;50.521.268;103.634;50.417.634
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;06/2020;19.422;752.590;306.394;42.277.759;-1.856.246;40.421.513;0;0;0;0;0;5.384.625;19.224;320.736;47.224.504;0;47.224.504
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;06/2020;25.823;0;1.112.248;43.407.132;-3.466.279;39.940.853;0;0;0;0;0;5.232.622;140.057;143.151;46.594.754;0;46.594.754
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;06/2020;93.997;6.716.234;12.636.293;12.936.307;-250.301;12.686.006;0;0;0;0;0;10.371.225;460.927;2.183.426;45.148.108;0;45.148.108
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;06/2020;216.189;8.418.047;4.469.155;16.776.850;-1.243.566;15.533.285;0;0;0;0;0;9.544.787;237.976;1.607.600;40.027.039;0;40.027.039
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;06/2020;5.486;14.817.978;21.099.338;0;0;0;0;0;0;0;0;1.767.632;145.049;631.187;38.466.670;0;38.466.670
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;06/2020;2.499;20.903.347;6.926.119;3.234.353;-136.535;3.097.818;0;0;0;0;0;3.260.061;2.806;2.288.549;36.481.200;0;36.481.200
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;06/2020;2.644;881.998;2.216.527;23.584.624;-1.691.994;21.892.630;0;0;0;0;0;7.318.998;382.584;1.086.080;33.781.461;0;33.781.461
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH;51255;80556;b1;3;8;SAO PAULO;SP;06/2020;115.507;13.770.451;14.028.423;660.403;-1.215;659.189;0;0;0;0;0;1.871.233;262.270;53.988;30.761.061;0;30.761.061
BANCO MUFG BRASIL S.A.;60498557;;;81713;b1;3;8;SAO PAULO;SP;06/2020;113.844;6.318.351;3.341.861;2.050.017;-2.007;2.048.010;0;0;0;0;0;17.238.358;11.394;35.326;29.107.144;0;29.107.144
BANCO BANDEPE S.A.;10866788;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2020;0;42.178;27.237.349;0;0;0;0;0;0;0;0;312.869;26;1.252.411;28.844.833;0;28.844.833
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;8;991.807;1.163;27.996.644;-1.293.318;26.703.325;0;0;0;0;0;763.251;35.484;19.280;28.514.319;0;28.514.319
